title,date,Fear,Optimism,Anger,Joy,Trust,Despair,Economic Security,Uncertainty,Fear for the future
Global stock markets dive as fears of Ukraine conflict rattle investors,2022-01-24T16:17:53Z,1,0,0,0,0,0,0,1,1
What would be Russia’s military options in Ukraine?,2022-01-10T16:44:34Z,1,0,0,0,0,0,0,1,1
‘This is just hysteria’: Russians unmoved by threat of Ukraine conflict,2022-01-29T05:00:42Z,1,0,0,0,0,0,0,1,1
US warns Russia conflict with Ukraine would be ‘horrific’ as tensions simmer,2022-01-29T06:15:55Z,1,0,0,0,0,0,0,1,1
Military deployed at London hospitals due to Omicron staff shortages,2022-01-07T00:01:24Z,1,0,1,0,0,0,0,1,1
Draft Trump order told defense chief to seize swing-state voting machines,2022-01-21T20:54:48Z,1,0,1,0,0,0,0,1,1
MPs raise concerns about leak of hike in living wage in last budget,2022-01-27T00:01:16Z,1,0,0,0,0,0,0,1,1
Should I buy a house within budget or stretch myself for a long-term place?,2022-01-24T07:00:44Z,1,0,0,0,0,0,0,1,1
‘Accounting sham’: transport body set up to improve NSW’s budget bottom line could need $4.1bn injection,2022-01-23T16:30:26Z,1,0,1,0,0,0,0,1,1
‘The Timothy McVeighs are still there’: fears over extremism in US military,2022-01-10T14:06:51Z,1,0,1,0,0,0,0,1,1
The US military is polluting Hawaii’s water supply – and denying it | Wayne Tanaka,2022-01-04T11:17:10Z,1,0,1,0,0,1,0,1,1
‘The Timothy McVeighs are still there’: fears over extremism in US military,2022-01-10T14:06:51Z,1,0,1,0,0,0,0,1,1
Japan attempts to stem surge in Covid cases linked to US military bases,2022-01-07T16:09:14Z,1,0,1,0,0,0,0,1,1
What would be Russia’s military options in Ukraine?,2022-01-10T16:44:34Z,1,0,0,0,0,0,0,1,1
Military deployed at London hospitals due to Omicron staff shortages,2022-01-07T00:01:24Z,1,0,1,0,0,0,0,1,1
Iran nuclear talks deadlock risks dangerous vacuum,2022-01-17T05:00:10Z,1,0,0,0,0,0,0,1,1
Democrats urge Biden to keep pledge to limit nuclear weapons,2022-01-26T17:53:36Z,1,0,1,0,0,0,0,1,1
UK pulls some embassy staff from Ukraine amid Russian threat,2022-01-24T09:44:27Z,1,0,0,0,0,0,0,1,1
Ministers invest £100m in EDF’s £20bn Sizewell C nuclear power station,2022-01-27T00:01:16Z,1,1,1,0,0,0,0,1,1
The Guardian view on the threat to Ukraine: high and rising | Editorial,2022-01-25T19:16:59Z,1,0,0,0,0,0,0,1,1
California could become first US state to offer universal healthcare to residents,2022-01-11T21:13:43Z,0,1,1,0,0,1,0,1,1
London NHS hospitals bought £36m of services from US healthcare firm HCA last year,2022-01-21T14:11:07Z,1,0,1,0,0,0,0,1,1
GSK banks on stronger offer for its consumer healthcare business,2022-01-16T17:17:10Z,0,1,1,0,0,0,0,1,0
The foundations of our healthcare system have been washed away | NSW emergency nurse,2022-01-04T16:30:18Z,1,0,1,0,0,1,0,1,1
Share your experiences of accessing UK healthcare for a long term condition,2022-01-28T12:18:41Z,1,0,0,0,0,0,0,1,1
Will Covid-19 become less dangerous as it evolves? ,2022-01-11T06:00:08Z,1,0,0,0,0,0,0,1,1
Snow leopard at Illinois zoo dies after contracting Covid-19,2022-01-08T16:16:09Z,1,0,0,0,0,1,0,1,1
Covid-19 map of the US: latest cases state by state,2022-01-20T15:32:36Z,1,0,0,0,0,0,0,1,1
Patient removed from heart transplant list for refusing Covid-19 vaccine,2022-01-25T17:51:39Z,1,0,1,0,0,1,0,1,1
"Omarion is an R&B singer, not a Covid-19 variant",2022-01-04T14:57:21Z,1,0,0,0,0,0,0,1,1
How mighty will Amazon be after the pandemic?,2022-01-30T00:05:05Z,0,0,0,0,0,0,0,1,1
How to book a holiday during the Covid pandemic,2022-01-17T07:00:14Z,1,0,0,0,0,0,0,1,1
Pandemic treechange: Australia’s modern bush architecture enters new era,2022-01-15T19:00:29Z,0,1,0,1,0,0,0,0,0
UK economy back to pre-pandemic levels in November ,2022-01-14T16:16:44Z,0,1,0,0,0,0,0,1,1
Fears of pandemic exodus from England’s cities prove unfounded,2022-01-12T06:00:38Z,1,1,0,0,0,0,0,1,1
Covid vaccine fears and frustration | Letters,2022-01-17T16:28:31Z,1,0,1,0,0,1,0,1,1
Don’t demonise those who refuse the Covid vaccine | Letters,2022-01-16T16:42:16Z,1,0,1,0,0,1,0,0,1
Novavax vaccine may be approved for Australia within months,2022-01-11T16:30:23Z,0,1,1,0,0,0,0,1,0
Clothing brand Carhartt in conservative crosshairs for issuing vaccine directive,2022-01-20T10:00:01Z,0,0,1,0,0,0,0,1,1
US supreme court blocks Biden’s workplace vaccine-or-test rules,2022-01-13T20:09:28Z,1,1,1,0,0,0,0,1,1
"Fantasy football can lead to mental health decline, study claims",2022-01-06T19:39:07Z,1,0,0,0,0,0,0,1,0
Ruth Davidson speaks of fears over disclosure of mental health history,2022-01-17T00:01:05Z,1,0,0,0,0,0,0,1,0
Texas hostage taker had criminal and mental health history in UK,2022-01-17T18:40:27Z,1,0,1,0,0,0,0,1,1
"Youth mental health: Australia needs to look beyond ills of social media to fix crisis, children’s commissioner says",2022-01-05T16:30:39Z,1,0,0,0,0,1,0,1,1
Psychiatrists warn of police and crime bill’s impact on young people,2022-01-15T10:09:37Z,1,0,1,0,0,1,0,1,1
The post-Brexit economic crisis never materialised – Labour is right to move on | Larry Elliott,2022-01-31T10:00:46Z,1,1,0,0,0,0,0,1,0
"We face a land crisis, not a housing crisis | Letter",2022-01-21T17:53:07Z,0,1,1,0,0,0,0,0,0
"Crisis, what crisis? Florida Republicans deny Omicron is straining hospitals ",2022-01-06T10:00:01Z,1,0,1,0,0,0,0,1,1
Morrison speaks out against China’s ‘economic coercion’ at Davos,2022-01-21T10:07:46Z,1,0,1,0,0,0,0,1,1
Government denies claims it has scrapped crucial economic crimes bill,2022-01-26T19:21:57Z,0,0,1,0,0,1,0,1,1
Can London stock market shake off dinosaur image to boldly go?,2022-01-04T08:10:40Z,1,1,0,0,0,0,0,1,1
Let the wild rumpus start: is the US facing a stock market ‘super-bubble’?,2022-01-25T21:41:38Z,1,0,0,0,0,0,0,1,1
Global stock markets dive as fears of Ukraine conflict rattle investors,2022-01-24T16:17:53Z,1,0,0,0,0,0,0,1,1
"Stock markets falling, investors getting nervous – is the debt-fuelled finance party over?",2022-01-24T16:30:20Z,1,0,0,0,0,0,0,1,1
US stock markets see another wild day amid concerns over Fed and Ukraine,2022-01-24T22:02:23Z,1,0,0,0,0,0,0,1,1
Britain’s stalling economy blamed on inflation and product shortages,2022-01-05T22:30:45Z,1,0,0,0,0,0,0,1,1
"Inflation is back, and there’s plenty more in the pipeline",2022-01-19T09:32:46Z,1,0,0,0,0,0,0,1,1
UK children to get inflation-busting rise in pocket money,2022-01-06T18:17:29Z,0,1,0,1,1,0,1,0,0
US Federal Reserve indicates increase in interest rates as inflation rises,2022-01-26T21:11:14Z,1,0,0,0,0,0,0,1,1
"Inflation and Omicron will dent world growth in 2022, says IMF",2022-01-25T14:00:34Z,1,0,0,0,0,0,0,1,1
Omicron likely to slow UK bounceback from Covid shock to economy,2022-01-14T10:05:32Z,0,0,0,0,0,0,0,1,1
Labour shortages may boost investment in technology but people still need help to work | Torsten Bell,2022-01-30T10:30:18Z,0,1,0,0,0,0,0,1,1
"Covid denialist and Bolsonaro ally Olavo de Carvalho died of virus, says daughter",2022-01-25T16:25:45Z,0,0,1,0,0,1,0,1,1
The post-Brexit economic crisis never materialised – Labour is right to move on | Larry Elliott,2022-01-31T10:00:46Z,1,1,0,0,0,0,0,1,0
Bentley to build its first fully electric car at Crewe factory,2022-01-26T10:11:25Z,0,1,0,0,1,0,1,0,0
Guardian and Observer climate justice charity appeal tops £1m,2022-01-21T13:01:23Z,0,1,0,1,1,0,0,0,1
The Guardian view on waiting for justice: Raab seeks a shortcut | Editorial,2022-01-30T18:30:27Z,0,0,1,0,0,1,0,1,1
Liberals across America sigh with relief about Justice Breyer’s retirement  | Moira Donegan,2022-01-27T14:30:32Z,1,1,1,1,0,1,0,1,1
Sadiq Khan proposes journey charge for motorists in London,2022-01-18T00:01:40Z,1,1,1,0,0,0,0,1,1
"Jailing of Syrian intelligence officer ‘step towards justice’, say former detainees",2022-01-13T15:25:19Z,1,1,1,1,0,1,0,1,0
Scepticism in uneasy Kazakhstan as president promises reform,2022-01-15T05:00:12Z,1,0,0,0,0,0,0,1,1
"Royal Navy will fail without reform, says outgoing deputy chief",2022-01-12T16:42:45Z,0,0,0,0,0,1,0,1,1
Police urgently need citizens’ oversight  | Letter,2022-01-27T17:38:06Z,1,0,1,0,0,1,0,1,1
Sinema says no to filibuster reform to scuttle Democrats’ voting rights hopes,2022-01-14T01:24:42Z,1,0,1,0,0,1,0,1,1
Canada agrees C$40bn deal to reform child welfare for First Nations,2022-01-04T20:04:11Z,0,0,1,0,0,1,0,1,1
Six in 10 Americans ‘alarmed’ or ‘concerned’ about climate change – study,2022-01-13T10:00:28Z,1,1,0,0,0,0,0,1,1
Only a culture change can end this state of climate inaction | Letters,2022-01-09T17:25:34Z,1,0,1,0,0,1,0,1,1
"Dining across the divide: ‘The climate is changing, but I doubt it is man-made’",2022-01-27T12:30:30Z,0,0,0,0,0,0,0,1,1
"The Davos razzmatazz is gone, but the issues are more urgent than ever | Larry Elliott",2022-01-16T16:15:20Z,1,0,1,0,0,1,0,1,1
Weatherwatch: Andorra’s continental and alpine climate,2022-01-04T06:00:09Z,0,0,0,0,0,0,0,0,0
"WA’s offshore gasfields pay almost no royalties and stoke carbon emissions, report finds",2022-01-16T16:30:55Z,0,0,1,0,0,0,1,1,1
How do we solve bitcoin’s carbon problem?,2022-01-30T12:00:20Z,1,0,0,0,0,0,0,1,1
Australian regulator finds large-scale emissions misreporting by coalminer Peabody,2022-01-30T16:03:24Z,0,0,1,0,0,0,0,1,1
Fracking in Lake Eyre basin ‘would derail Queensland’s emissions plan’,2022-01-13T01:05:15Z,1,0,1,0,0,0,0,1,1
‘Like witnessing a birth in a morgue’: the volunteers working to save the Joshua trees,2022-01-20T11:00:04Z,1,1,0,0,0,1,0,1,1
UK firms warned over possible Russian cyber-attacks amid Ukraine crisis,2022-01-28T10:19:06Z,1,0,0,0,0,0,0,1,1
Team GB athletes offered temporary phones over China spying fears,2022-01-12T18:47:32Z,1,0,0,0,0,0,0,1,0
MPs criticise cyber agency for not aiding China rights group after it was hacked,2022-01-21T06:00:24Z,1,0,1,0,0,0,0,1,0
What your smart TV knows about you – and how to stop it harvesting data,2022-01-29T17:00:04Z,1,0,0,0,0,0,0,1,1
BlackBerry signals end of an era as it prepares to pull plug on classic phones,2022-01-03T21:40:45Z,0,0,0,0,0,1,0,1,1
‘The economy cannot stay open’: Omicron’s effects ricochet across US,2022-01-12T14:47:30Z,1,0,1,0,0,1,0,1,1
Markets rebound as US economy records fastest growth since 1984 – as it happened,2022-01-27T17:41:06Z,1,1,0,0,0,0,0,1,1
"After Biden’s first year, the US economy is surprisingly healthy. His prospects are not",2022-01-20T08:00:15Z,1,0,0,0,0,1,0,1,1
The UK government should join us to create a fair and resilient economy | Frances O'Grady,2022-01-02T14:11:49Z,1,0,1,0,0,1,0,1,1
Janet Yellen says US economy is unfair to Black Americans in MLK Day speech,2022-01-17T16:16:13Z,0,1,1,0,0,1,0,1,0
Bannon and allies bid to expand pro-Trump influence in local US politics,2022-01-03T07:00:39Z,1,0,1,0,0,0,0,1,1
WNBA players changed US politics in Georgia. NBA stars can do the same in Texas,2022-01-17T10:00:17Z,0,1,1,0,0,1,0,1,1
Our blighted birthdays and party politics | Letters,2022-01-25T18:13:36Z,0,0,1,0,0,1,0,1,0
Here’s what a Tory donor and a lavish Liz Truss lunch in Mayfair tells us about British politics | Simon Jenkins,2022-01-03T15:15:03Z,0,0,1,0,0,0,0,1,1
The Observer view on UK politics in 2022 | Observer editorial,2022-01-02T06:00:10Z,1,1,1,0,0,1,0,1,1
Suspect in killing of Haiti president arrested by US authorities,2022-01-04T20:26:05Z,1,0,1,0,0,1,0,1,0
Honduran president’s fall from grace poised to end in US indictment,2022-01-26T10:30:06Z,0,0,1,0,0,1,0,1,1
Top 10 books about US presidents | Claude A Clegg III,2022-01-19T12:00:11Z,1,0,1,0,0,0,0,1,1
Why is Biden one of the most unpopular US presidents? | First Thing,2022-01-18T11:35:53Z,1,0,1,0,0,0,0,1,1
‘It’s a tough time’: why is Biden one of the most unpopular US presidents?,2022-01-18T07:00:48Z,1,0,0,0,0,1,0,1,1
The US supreme court is letting racist discrimination run wild in the election system | Carol Anderson,2022-02-12T11:18:05Z,0,0,1,0,0,1,0,0,1
Boris Johnson appoints combative election strategist David Canzini ,2022-02-27T14:09:53Z,1,0,1,0,0,0,0,1,0
The US state that fought back after Republicans tried to rig its elections,2022-02-01T10:30:16Z,0,1,1,0,0,0,0,1,1
Michaelia Cash confirms no action on national integrity commission before election,2022-02-15T07:18:15Z,0,0,1,0,0,1,0,1,0
Viktor Orbán invites Trump to Hungary to boost re-election campaign,2022-02-11T06:00:43Z,0,0,0,0,0,0,0,1,1
"Republicans fear Michelle Obama presidential run, ex-Trump aide says",2022-02-27T13:16:55Z,1,0,0,0,0,0,0,1,0
Ron DeSantis fuels US presidential run speculation with CPAC speech,2022-02-24T21:23:40Z,1,1,1,1,0,0,0,1,0
French far-right presidential hopeful likens himself to Boris Johnson,2022-02-07T13:51:57Z,1,0,0,0,0,0,0,1,1
"Donald Trump defends calling Putin ‘smart’, hints at 2024 presidential bid",2022-02-27T04:28:32Z,1,0,1,0,0,0,0,1,1
French reporter infiltrates campaign of far-right presidential candidate Éric Zemmour,2022-02-17T06:00:27Z,1,0,1,0,0,0,0,1,1
‘We have a project’: QAnon followers eye swing state election official races,2022-02-11T08:00:44Z,1,0,1,0,0,0,0,1,1
‘Like sardines’: experts question the results of ventilation audits at NSW schools,2022-02-02T16:30:29Z,1,0,1,0,0,0,0,1,1
Boris Johnson appoints combative election strategist David Canzini ,2022-02-27T14:09:53Z,1,0,1,0,0,0,0,1,0
Tell us: have you had a positive LFT test result followed by a negative PCR result?,2022-02-07T11:12:49Z,1,0,0,0,0,0,0,1,0
How bad is Storm Eunice – and is it a result of climate breakdown?,2022-02-18T12:48:11Z,1,0,0,0,0,0,0,1,1
Poll: US majority believes no Russian invasion with Trump as president,2022-02-26T17:30:40Z,1,0,1,0,0,0,0,1,0
Culture wars rage as depopulated Spanish region goes to polls,2022-02-12T06:00:11Z,1,0,1,0,0,1,0,1,1
"Half of Londoners unhappy with Met at end of Cressida Dick’s term, polls show",2022-02-16T17:18:35Z,1,0,1,0,1,1,0,1,1
"Record 7.1% of Americans identify as LGBTQ+, Gallup poll finds",2022-02-17T17:37:27Z,0,1,0,0,0,0,0,1,0
"Most Europeans want to stand with Kyiv against Moscow, poll suggests",2022-02-09T05:00:42Z,1,0,0,0,1,0,0,1,1
Craving peace in a lifetime of conflict | Brief letters,2022-02-25T16:47:06Z,1,0,0,0,0,1,0,1,1
Ukraine crisis: miscalculation could trigger unintended wider conflict,2022-02-13T15:50:36Z,1,0,0,0,0,0,0,1,1
Charities urge UK to welcome refugees fleeing Ukraine conflict,2022-02-25T08:32:09Z,1,0,1,0,0,0,0,1,1
Chelsea’s Abramovich ‘trying to help’ in Ukraine-Russia conflict,2022-02-28T12:41:08Z,1,0,1,0,0,0,0,1,1
Coalition pledges $804m to ensure Antarctica is ‘free from conflict’,2022-02-21T16:30:20Z,0,1,0,0,0,0,1,1,1
Defense and cybersecurity stocks climb amid Russia’s invasion of Ukraine,2022-02-28T22:09:51Z,1,1,0,0,0,0,1,1,1
UK reports first budget surplus in Covid crisis despite rising inflation,2022-02-22T08:10:50Z,0,1,0,0,0,0,1,1,1
Leader of Black police body calls Cressida Dick ‘defensive and dismissive’,2022-02-11T11:48:46Z,1,0,1,0,0,0,0,1,1
Netflix offers £1.5m budget in search for new UK film-makers,2022-02-23T00:01:22Z,0,1,0,1,0,0,1,0,0
‘Nervous’ wandering chicken caught at US Pentagon security checkpoint,2022-02-03T14:56:11Z,0,0,0,1,0,0,0,1,0
Ukraine crisis: Russia criticises US military moves as ‘destructive step’,2022-02-03T09:35:06Z,1,0,1,0,0,0,0,1,1
One in five applicants to white supremacist group tied to US military,2022-02-09T06:00:44Z,1,0,1,0,0,0,0,1,1
Ukraine crisis: Russia has in place 70% of military needed for full invasion – US officials,2022-02-06T05:08:30Z,1,0,0,0,0,0,0,1,1
France announces military withdrawal from Mali after nine years,2022-02-17T11:44:48Z,0,0,1,0,0,1,0,1,1
Ottawa police considering military intervention to end ‘unlawful’ blockade,2022-02-02T21:54:46Z,1,0,1,0,0,0,0,1,1
Would Vladimir Putin actually use nuclear weapons?,2022-02-28T14:50:11Z,1,0,0,0,0,0,0,1,1
UK beer and meat producers breathe sigh of relief after CO2 deal is struck ,2022-02-01T13:17:03Z,0,1,0,0,0,0,1,1,1
The subtle but deadly threat to UK democracy | Letters ,2022-02-28T17:50:45Z,1,0,1,0,0,0,0,1,1
Putin’s looming threat gives Johnson some breathing space,2022-02-23T20:00:39Z,1,0,1,0,0,0,0,1,1
Monday briefing: Rouble tumbles as sanctions bite,2022-02-28T06:27:58Z,1,0,1,0,0,1,0,1,1
US healthcare giant’s takeover of GP practices lands in high court ,2022-02-02T07:49:23Z,1,0,1,0,0,0,0,1,1
"As Omicron peaks, the US healthcare system is left ‘broken beyond repair’",2022-02-04T07:00:20Z,1,1,1,0,0,1,0,1,1
Grim diagnosis of racial inequality in healthcare | Letters,2022-02-15T17:36:51Z,0,0,1,0,0,1,0,1,1
GSK boss upbeat over spin-off of consumer healthcare unit,2022-02-28T14:53:25Z,0,1,1,0,0,0,0,1,1
The Guardian view on healthcare in war: protect those who aid others | Editorial,2022-02-15T18:48:03Z,1,0,1,0,0,1,0,1,1
Covid-19 Australia data tracker,2022-02-21T05:51:37Z,0,0,0,0,0,0,0,1,1
Covid-19 vaccine Australia rollout tracker,2022-02-21T05:50:18Z,0,0,0,0,0,0,0,1,1
How to move: exercising after having Covid-19,2022-02-16T16:30:11Z,0,1,0,0,0,0,0,1,0
Sanofi and GSK seek approval for Covid-19 vaccine,2022-02-23T17:26:15Z,0,1,0,0,1,0,0,0,0
Hong Kong domestic workers left homeless after being fired for contracting Covid-19,2022-02-23T22:53:17Z,1,0,1,0,0,1,0,1,1
Pandemic helps heartless romance fraudsters infect the internet,2022-02-13T09:00:07Z,1,0,1,0,0,1,0,1,1
Pfizer accused of pandemic profiteering as profits double,2022-02-08T17:26:34Z,0,0,1,0,0,1,0,1,0
"Almost 15,000 ‘ghost flights’ have left UK since pandemic began",2022-02-22T11:00:06Z,0,0,1,0,0,0,0,1,1
Millions in England face ‘second pandemic’ of mental health issues,2022-02-21T06:00:25Z,1,0,1,0,0,1,0,1,1
Pandemic pets: how do owners cope as costs bound ahead?,2022-02-12T11:00:05Z,0,0,0,1,0,1,1,1,1
Covid-19 vaccine Australia rollout tracker,2022-02-21T05:50:18Z,0,0,0,0,0,0,0,1,1
Sanofi and GSK seek approval for Covid-19 vaccine,2022-02-23T17:26:15Z,0,1,0,0,1,0,0,0,0
Germany hopes protein-based Covid vaccine will sway sceptics,2022-02-21T11:56:31Z,1,1,0,0,0,0,0,1,0
Indian health workers allege widespread vaccine certificate fraud,2022-02-02T02:00:11Z,1,0,1,0,0,1,0,1,0
US army begins discharging soldiers who refuse Covid vaccine,2022-02-03T17:43:54Z,1,0,0,0,0,0,0,1,1
Addressing the need for increased mental health provision | Letter,2022-02-25T16:52:17Z,1,0,1,0,0,1,0,1,0
"Hot days lead to more mental health emergencies, study finds",2022-02-23T16:00:02Z,1,0,0,0,0,0,0,1,1
Investment is the only way to boost mental health services | Letter,2022-02-22T17:16:18Z,1,1,0,0,0,1,0,1,0
‘I forget everything’: the benefits of nature for mental health,2022-02-21T10:39:39Z,1,1,0,1,1,1,0,0,0
Mental health helpline funded by royals shared users’ anonymised conversations,2022-02-19T16:42:09Z,1,0,1,0,1,1,0,1,1
Australia has virtually zero economic leverage over Moscow,2022-02-25T07:46:03Z,0,0,1,0,0,0,0,1,1
Why a swift economic victory against Russia looks unlikely,2022-02-23T17:03:00Z,1,0,0,0,0,0,0,1,1
TV tonight: the truth of Brexit’s economic nightmare,2022-02-01T06:00:11Z,0,0,1,0,0,0,1,1,1
NatWest: the bailed-out bank that’s become an economic bellwether,2022-02-13T00:05:07Z,0,1,0,1,0,0,1,1,1
"US-Canada bridge blockade risks huge economic damage, governments warn",2022-02-09T19:37:46Z,1,0,1,0,0,1,0,1,1
Russia’s central bank doubles interest rates and closes stock market as rouble plunges,2022-02-28T17:16:34Z,1,0,0,0,0,1,0,1,1
Russian central bank hikes rates and closes stock market as rouble crashes; oil and gas soar – as it happened,2022-02-28T17:54:23Z,1,0,0,0,0,1,0,1,1
Ukraine crisis: commodities prices surge as stock markets slump,2022-02-24T17:27:47Z,1,0,0,0,0,1,0,1,1
Kyiv vows to ‘resist’ cyberattacks; stock markets bounce back – as it happened,2022-02-16T05:34:56Z,1,1,1,0,0,0,1,1,1
Russian central bank buys up roubles to avert stock market collapse,2022-02-24T17:51:50Z,1,0,0,0,0,0,0,1,1
UK shop price inflation almost doubles in January,2022-02-02T00:01:08Z,1,0,0,0,0,0,0,1,1
‘I’m quite fearful’: workers and employers on growing inflation,2022-02-15T18:48:10Z,1,0,1,0,0,0,0,1,1
Irn-Bru maker raises prices as UK inflation soars,2022-02-01T08:55:30Z,0,0,0,0,0,0,1,1,0
Sky reveals inflation-busting price increases for TV and broadband,2022-02-16T17:39:15Z,1,0,1,0,0,1,0,1,1
Inflation may pose tougher challenge than end of Covid restrictions,2022-02-15T09:29:46Z,1,0,0,0,0,0,0,1,1
Credibility challenge: Bank of England walks a tightrope on interest rates,2022-02-15T06:00:04Z,1,0,1,0,0,0,0,1,1
"In the face of war, central bank hawks must retreat on inflation",2022-02-26T17:00:49Z,1,0,0,0,0,1,0,1,1
Central banks should be cautious in calibrating a response to inflation | Larry Elliott,2022-02-13T12:21:49Z,1,0,0,0,0,0,0,1,1
Equal paid parental leave could provide the economic boost Australia needs | Jessica Mizrahi,2022-02-14T16:30:22Z,0,1,1,0,0,0,1,1,1
"UK green economy has failed to grow since 2014, according to official data",2022-02-17T15:12:29Z,0,0,1,0,0,1,0,1,1
"Be warned: for influencers, social justice is no more than a branding device | Rachel Connolly",2022-02-09T10:00:03Z,0,0,1,0,0,1,0,1,0
‘They do not bend the knee’: US right courts UFC as NFL nods at social justice,2022-02-23T10:00:03Z,0,0,1,0,0,0,0,1,0
Truth Social: beta testers get a glimpse of Donald Trump’s new social media app,2022-02-17T20:57:11Z,0,0,1,0,0,0,0,1,0
Bucs’ Ali Marpet walks away from NFL at 28 with $20m still left on contract,2022-02-27T21:54:25Z,0,1,0,1,0,0,1,0,0
The big picture: the geometry of social distancing,2022-02-27T07:00:06Z,1,0,0,0,0,0,0,1,1
Can Biden tackle rising crime without abandoning police reform promise?,2022-02-06T10:00:22Z,1,0,0,0,0,0,0,1,1
The fall of Cressida Dick gives us the opportunity to truly reform Britain’s police  | Abimbola Johnson,2022-02-15T08:00:07Z,0,1,1,0,0,1,0,1,0
Real constitutional reform goes beyond abolishing the monarchy | Letters,2022-02-20T17:40:45Z,0,0,1,0,0,1,0,1,1
Police review chief says ‘Betamax police’ stuck in the past ,2022-02-21T22:49:08Z,1,0,1,0,0,1,0,1,0
Only root-and-branch reform of the Met will suffice | Letter,2022-02-02T17:01:16Z,1,0,1,0,0,1,0,1,0
Climate change bills in Northern Ireland edge closer to completion,2022-02-10T07:00:14Z,0,1,0,0,0,0,0,1,1
What is the IPCC climate change report – and what does it say?,2022-02-28T12:08:48Z,1,0,0,0,0,1,0,1,1
Perth festival production of climate change work criticised for ‘farcical’ fossil fuel sponsorship,2022-02-11T08:19:23Z,1,0,1,0,0,1,0,1,1
"Climate change is intensifying Earth’s water cycle at twice the predicted rate, research shows",2022-02-23T16:30:04Z,1,0,0,0,0,0,0,1,1
Hurricane Lizards and Plastic Squid by Thor Hanson review – how nature is adapting to climate change,2022-02-17T07:30:29Z,1,1,0,0,0,0,0,1,1
UK government ‘failing’ to cut carbon emissions from home heating,2022-02-03T07:00:46Z,1,0,1,0,0,1,0,1,1
How the UK can cut carbon emissions and reduce household energy bills,2022-02-13T17:32:41Z,1,1,0,0,0,0,1,1,1
"Deforestation emissions far higher than previously thought, study finds",2022-02-28T16:00:14Z,1,0,1,0,0,1,0,1,1
Why the shutdown of AGL’s coal-fired plants will probably happen even sooner than power giant says ,2022-02-10T16:30:25Z,0,0,1,0,0,0,0,1,1
Can you really carbon offset a power station? It should be a last resort | Graham Readfearn,2022-02-09T23:30:04Z,0,0,1,0,0,0,0,1,1
Defense and cybersecurity stocks climb amid Russia’s invasion of Ukraine,2022-02-28T22:09:51Z,1,1,0,0,0,0,1,1,1
"Russia-backed hackers behind powerful new malware, UK and US say",2022-02-24T14:55:17Z,1,0,1,0,0,0,0,1,1
"Russia unleashed data-wiper malware on Ukraine, say cyber experts",2022-02-24T22:28:02Z,1,0,0,0,0,0,0,1,1
UK firms warned of Russian cyberwar ‘spillover’ from Ukraine,2022-02-23T15:20:45Z,1,0,0,0,0,0,0,1,1
Ukraine accuses Russia of cyber-attack on two banks and its defence ministry,2022-02-16T19:12:52Z,1,0,1,0,0,0,0,1,1
