title,date,Fear,Optimism,Anger,Joy,Trust,Despair,Economic Security,Uncertainty,Fear for the future,sp500_close_today,sp500_close_next_day,sp500_close_next_week,Next_Day_Change,Next_Week_Change,Next_Day_Status,Next_Week_Status
Japan attempts to stem surge in Covid cases linked to US military bases,2022-01-07,1,0,1,0,0,0,0,1,1,[4677.02978516],,[4662.85009766],,[-14.1796875],ללא שינוי,ירידה
What would be Russia’s military options in Ukraine?,2022-01-10,1,0,0,0,0,0,0,1,1,[4670.29003906],[4713.06982422],,[42.77978516],,עלייה,ללא שינוי
Military deployed at London hospitals due to Omicron staff shortages,2022-01-07,1,0,1,0,0,0,0,1,1,[4677.02978516],,[4662.85009766],,[-14.1796875],ללא שינוי,ירידה
Iran nuclear talks deadlock risks dangerous vacuum,2022-01-17,1,0,0,0,0,0,0,1,1,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
Democrats urge Biden to keep pledge to limit nuclear weapons,2022-01-26,1,0,1,0,0,0,0,1,1,[4349.93017578],[4326.50976562],[4589.37988281],[-23.42041016],[239.44970703],ירידה,עלייה
UK pulls some embassy staff from Ukraine amid Russian threat,2022-01-24,1,0,0,0,0,0,0,1,1,[4410.12988281],[4356.45019531],[4515.54980469],[-53.6796875],[105.41992188],ירידה,עלייה
Ministers invest £100m in EDF’s £20bn Sizewell C nuclear power station,2022-01-27,1,1,1,0,0,0,0,1,1,[4326.50976562],[4431.85009766],[4477.43994141],[105.34033203],[150.93017578],עלייה,עלייה
The Guardian view on the threat to Ukraine: high and rising | Editorial,2022-01-25,1,0,0,0,0,0,0,1,1,[4356.45019531],[4349.93017578],[4546.54003906],[-6.52001953],[190.08984375],ירידה,עלייה
California could become first US state to offer universal healthcare to residents,2022-01-11,0,1,1,0,0,1,0,1,1,[4713.06982422],[4726.35009766],[4577.10986328],[13.28027344],[-135.95996094],עלייה,ירידה
London NHS hospitals bought £36m of services from US healthcare firm HCA last year,2022-01-21,1,0,1,0,0,0,0,1,1,[4397.93994141],,[4431.85009766],,[33.91015625],ללא שינוי,עלייה
GSK banks on stronger offer for its consumer healthcare business,2022-01-16,0,1,1,0,0,0,0,1,0,,,,,,ללא שינוי,ללא שינוי
The foundations of our healthcare system have been washed away | NSW emergency nurse,2022-01-04,1,0,1,0,0,1,0,1,1,[4793.54003906],[4700.58007812],[4713.06982422],[-92.95996094],[-80.47021484],ירידה,ירידה
Share your experiences of accessing UK healthcare for a long term condition,2022-01-28,1,0,0,0,0,0,0,1,1,[4431.85009766],,[4500.52978516],,[68.6796875],ללא שינוי,עלייה
Will Covid-19 become less dangerous as it evolves? ,2022-01-11,1,0,0,0,0,0,0,1,1,[4713.06982422],[4726.35009766],[4577.10986328],[13.28027344],[-135.95996094],עלייה,ירידה
Snow leopard at Illinois zoo dies after contracting Covid-19,2022-01-08,1,0,0,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
Covid-19 map of the US: latest cases state by state,2022-01-20,1,0,0,0,0,0,0,1,1,[4482.72998047],[4397.93994141],[4326.50976562],[-84.79003906],[-156.22021484],ירידה,ירידה
Patient removed from heart transplant list for refusing Covid-19 vaccine,2022-01-25,1,0,1,0,0,1,0,1,1,[4356.45019531],[4349.93017578],[4546.54003906],[-6.52001953],[190.08984375],ירידה,עלייה
"Omarion is an R&B singer, not a Covid-19 variant",2022-01-04,1,0,0,0,0,0,0,1,1,[4793.54003906],[4700.58007812],[4713.06982422],[-92.95996094],[-80.47021484],ירידה,ירידה
How mighty will Amazon be after the pandemic?,2022-01-30,0,0,0,0,0,0,0,1,1,,[4515.54980469],,,,ללא שינוי,ללא שינוי
How to book a holiday during the Covid pandemic,2022-01-17,1,0,0,0,0,0,0,1,1,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
Pandemic treechange: Australia’s modern bush architecture enters new era,2022-01-15,0,1,0,1,0,0,0,0,0,,,,,,ללא שינוי,ללא שינוי
UK economy back to pre-pandemic levels in November ,2022-01-14,0,1,0,0,0,0,0,1,1,[4662.85009766],,[4397.93994141],,[-264.91015625],ללא שינוי,ירידה
Fears of pandemic exodus from England’s cities prove unfounded,2022-01-12,1,1,0,0,0,0,0,1,1,[4726.35009766],[4659.02978516],[4532.75976562],[-67.3203125],[-193.59033203],ירידה,ירידה
Covid vaccine fears and frustration | Letters,2022-01-17,1,0,1,0,0,1,0,1,1,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
Don’t demonise those who refuse the Covid vaccine | Letters,2022-01-16,1,0,1,0,0,1,0,0,1,,,,,,ללא שינוי,ללא שינוי
Novavax vaccine may be approved for Australia within months,2022-01-11,0,1,1,0,0,0,0,1,0,[4713.06982422],[4726.35009766],[4577.10986328],[13.28027344],[-135.95996094],עלייה,ירידה
Clothing brand Carhartt in conservative crosshairs for issuing vaccine directive,2022-01-20,0,0,1,0,0,0,0,1,1,[4482.72998047],[4397.93994141],[4326.50976562],[-84.79003906],[-156.22021484],ירידה,ירידה
US supreme court blocks Biden’s workplace vaccine-or-test rules,2022-01-13,1,1,1,0,0,0,0,1,1,[4659.02978516],[4662.85009766],[4482.72998047],[3.8203125],[-176.29980469],עלייה,ירידה
"Fantasy football can lead to mental health decline, study claims",2022-01-06,1,0,0,0,0,0,0,1,0,[4696.04980469],[4677.02978516],[4659.02978516],[-19.02001953],[-37.02001953],ירידה,ירידה
Ruth Davidson speaks of fears over disclosure of mental health history,2022-01-17,1,0,0,0,0,0,0,1,0,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
Texas hostage taker had criminal and mental health history in UK,2022-01-17,1,0,1,0,0,0,0,1,1,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
"Youth mental health: Australia needs to look beyond ills of social media to fix crisis, children’s commissioner says",2022-01-05,1,0,0,0,0,1,0,1,1,[4700.58007812],[4696.04980469],[4726.35009766],[-4.53027344],[25.77001953],ירידה,עלייה
Psychiatrists warn of police and crime bill’s impact on young people,2022-01-15,1,0,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
The post-Brexit economic crisis never materialised – Labour is right to move on | Larry Elliott,2022-01-31,1,1,0,0,0,0,0,1,0,[4515.54980469],[4546.54003906],[4483.87011719],[30.99023438],[-31.6796875],עלייה,ירידה
"We face a land crisis, not a housing crisis | Letter",2022-01-21,0,1,1,0,0,0,0,0,0,[4397.93994141],,[4431.85009766],,[33.91015625],ללא שינוי,עלייה
"Crisis, what crisis? Florida Republicans deny Omicron is straining hospitals ",2022-01-06,1,0,1,0,0,0,0,1,1,[4696.04980469],[4677.02978516],[4659.02978516],[-19.02001953],[-37.02001953],ירידה,ירידה
Morrison speaks out against China’s ‘economic coercion’ at Davos,2022-01-21,1,0,1,0,0,0,0,1,1,[4397.93994141],,[4431.85009766],,[33.91015625],ללא שינוי,עלייה
Government denies claims it has scrapped crucial economic crimes bill,2022-01-26,0,0,1,0,0,1,0,1,1,[4349.93017578],[4326.50976562],[4589.37988281],[-23.42041016],[239.44970703],ירידה,עלייה
Can London stock market shake off dinosaur image to boldly go?,2022-01-04,1,1,0,0,0,0,0,1,1,[4793.54003906],[4700.58007812],[4713.06982422],[-92.95996094],[-80.47021484],ירידה,ירידה
Let the wild rumpus start: is the US facing a stock market ‘super-bubble’?,2022-01-25,1,0,0,0,0,0,0,1,1,[4356.45019531],[4349.93017578],[4546.54003906],[-6.52001953],[190.08984375],ירידה,עלייה
Global stock markets dive as fears of Ukraine conflict rattle investors,2022-01-24,1,0,0,0,0,0,0,1,1,[4410.12988281],[4356.45019531],[4515.54980469],[-53.6796875],[105.41992188],ירידה,עלייה
"Stock markets falling, investors getting nervous – is the debt-fuelled finance party over?",2022-01-24,1,0,0,0,0,0,0,1,1,[4410.12988281],[4356.45019531],[4515.54980469],[-53.6796875],[105.41992188],ירידה,עלייה
US stock markets see another wild day amid concerns over Fed and Ukraine,2022-01-24,1,0,0,0,0,0,0,1,1,[4410.12988281],[4356.45019531],[4515.54980469],[-53.6796875],[105.41992188],ירידה,עלייה
Britain’s stalling economy blamed on inflation and product shortages,2022-01-05,1,0,0,0,0,0,0,1,1,[4700.58007812],[4696.04980469],[4726.35009766],[-4.53027344],[25.77001953],ירידה,עלייה
"Inflation is back, and there’s plenty more in the pipeline",2022-01-19,1,0,0,0,0,0,0,1,1,[4532.75976562],[4482.72998047],[4349.93017578],[-50.02978516],[-182.82958984],ירידה,ירידה
UK children to get inflation-busting rise in pocket money,2022-01-06,0,1,0,1,1,0,1,0,0,[4696.04980469],[4677.02978516],[4659.02978516],[-19.02001953],[-37.02001953],ירידה,ירידה
US Federal Reserve indicates increase in interest rates as inflation rises,2022-01-26,1,0,0,0,0,0,0,1,1,[4349.93017578],[4326.50976562],[4589.37988281],[-23.42041016],[239.44970703],ירידה,עלייה
"Inflation and Omicron will dent world growth in 2022, says IMF",2022-01-25,1,0,0,0,0,0,0,1,1,[4356.45019531],[4349.93017578],[4546.54003906],[-6.52001953],[190.08984375],ירידה,עלייה
Omicron likely to slow UK bounceback from Covid shock to economy,2022-01-14,0,0,0,0,0,0,0,1,1,[4662.85009766],,[4397.93994141],,[-264.91015625],ללא שינוי,ירידה
Labour shortages may boost investment in technology but people still need help to work | Torsten Bell,2022-01-30,0,1,0,0,0,0,0,1,1,,[4515.54980469],,,,ללא שינוי,ללא שינוי
"Covid denialist and Bolsonaro ally Olavo de Carvalho died of virus, says daughter",2022-01-25,0,0,1,0,0,1,0,1,1,[4356.45019531],[4349.93017578],[4546.54003906],[-6.52001953],[190.08984375],ירידה,עלייה
The post-Brexit economic crisis never materialised – Labour is right to move on | Larry Elliott,2022-01-31,1,1,0,0,0,0,0,1,0,[4515.54980469],[4546.54003906],[4483.87011719],[30.99023438],[-31.6796875],עלייה,ירידה
Bentley to build its first fully electric car at Crewe factory,2022-01-26,0,1,0,0,1,0,1,0,0,[4349.93017578],[4326.50976562],[4589.37988281],[-23.42041016],[239.44970703],ירידה,עלייה
Guardian and Observer climate justice charity appeal tops £1m,2022-01-21,0,1,0,1,1,0,0,0,1,[4397.93994141],,[4431.85009766],,[33.91015625],ללא שינוי,עלייה
The Guardian view on waiting for justice: Raab seeks a shortcut | Editorial,2022-01-30,0,0,1,0,0,1,0,1,1,,[4515.54980469],,,,ללא שינוי,ללא שינוי
Liberals across America sigh with relief about Justice Breyer’s retirement  | Moira Donegan,2022-01-27,1,1,1,1,0,1,0,1,1,[4326.50976562],[4431.85009766],[4477.43994141],[105.34033203],[150.93017578],עלייה,עלייה
Sadiq Khan proposes journey charge for motorists in London,2022-01-18,1,1,1,0,0,0,0,1,1,[4577.10986328],[4532.75976562],[4356.45019531],[-44.35009766],[-220.65966797],ירידה,ירידה
"Jailing of Syrian intelligence officer ‘step towards justice’, say former detainees",2022-01-13,1,1,1,1,0,1,0,1,0,[4659.02978516],[4662.85009766],[4482.72998047],[3.8203125],[-176.29980469],עלייה,ירידה
Scepticism in uneasy Kazakhstan as president promises reform,2022-01-15,1,0,0,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
"Royal Navy will fail without reform, says outgoing deputy chief",2022-01-12,0,0,0,0,0,1,0,1,1,[4726.35009766],[4659.02978516],[4532.75976562],[-67.3203125],[-193.59033203],ירידה,ירידה
Police urgently need citizens’ oversight  | Letter,2022-01-27,1,0,1,0,0,1,0,1,1,[4326.50976562],[4431.85009766],[4477.43994141],[105.34033203],[150.93017578],עלייה,עלייה
Sinema says no to filibuster reform to scuttle Democrats’ voting rights hopes,2022-01-14,1,0,1,0,0,1,0,1,1,[4662.85009766],,[4397.93994141],,[-264.91015625],ללא שינוי,ירידה
Canada agrees C$40bn deal to reform child welfare for First Nations,2022-01-04,0,0,1,0,0,1,0,1,1,[4793.54003906],[4700.58007812],[4713.06982422],[-92.95996094],[-80.47021484],ירידה,ירידה
Six in 10 Americans ‘alarmed’ or ‘concerned’ about climate change – study,2022-01-13,1,1,0,0,0,0,0,1,1,[4659.02978516],[4662.85009766],[4482.72998047],[3.8203125],[-176.29980469],עלייה,ירידה
Only a culture change can end this state of climate inaction | Letters,2022-01-09,1,0,1,0,0,1,0,1,1,,[4670.29003906],,,,ללא שינוי,ללא שינוי
"Dining across the divide: ‘The climate is changing, but I doubt it is man-made’",2022-01-27,0,0,0,0,0,0,0,1,1,[4326.50976562],[4431.85009766],[4477.43994141],[105.34033203],[150.93017578],עלייה,עלייה
"The Davos razzmatazz is gone, but the issues are more urgent than ever | Larry Elliott",2022-01-16,1,0,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
Weatherwatch: Andorra’s continental and alpine climate,2022-01-04,0,0,0,0,0,0,0,0,0,[4793.54003906],[4700.58007812],[4713.06982422],[-92.95996094],[-80.47021484],ירידה,ירידה
"WA’s offshore gasfields pay almost no royalties and stoke carbon emissions, report finds",2022-01-16,0,0,1,0,0,0,1,1,1,,,,,,ללא שינוי,ללא שינוי
How do we solve bitcoin’s carbon problem?,2022-01-30,1,0,0,0,0,0,0,1,1,,[4515.54980469],,,,ללא שינוי,ללא שינוי
Australian regulator finds large-scale emissions misreporting by coalminer Peabody,2022-01-30,0,0,1,0,0,0,0,1,1,,[4515.54980469],,,,ללא שינוי,ללא שינוי
Fracking in Lake Eyre basin ‘would derail Queensland’s emissions plan’,2022-01-13,1,0,1,0,0,0,0,1,1,[4659.02978516],[4662.85009766],[4482.72998047],[3.8203125],[-176.29980469],עלייה,ירידה
‘Like witnessing a birth in a morgue’: the volunteers working to save the Joshua trees,2022-01-20,1,1,0,0,0,1,0,1,1,[4482.72998047],[4397.93994141],[4326.50976562],[-84.79003906],[-156.22021484],ירידה,ירידה
UK firms warned over possible Russian cyber-attacks amid Ukraine crisis,2022-01-28,1,0,0,0,0,0,0,1,1,[4431.85009766],,[4500.52978516],,[68.6796875],ללא שינוי,עלייה
Team GB athletes offered temporary phones over China spying fears,2022-01-12,1,0,0,0,0,0,0,1,0,[4726.35009766],[4659.02978516],[4532.75976562],[-67.3203125],[-193.59033203],ירידה,ירידה
MPs criticise cyber agency for not aiding China rights group after it was hacked,2022-01-21,1,0,1,0,0,0,0,1,0,[4397.93994141],,[4431.85009766],,[33.91015625],ללא שינוי,עלייה
What your smart TV knows about you – and how to stop it harvesting data,2022-01-29,1,0,0,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
BlackBerry signals end of an era as it prepares to pull plug on classic phones,2022-01-03,0,0,0,0,0,1,0,1,1,[4796.56005859],[4793.54003906],[4670.29003906],[-3.02001953],[-126.27001953],ירידה,ירידה
‘The economy cannot stay open’: Omicron’s effects ricochet across US,2022-01-12,1,0,1,0,0,1,0,1,1,[4726.35009766],[4659.02978516],[4532.75976562],[-67.3203125],[-193.59033203],ירידה,ירידה
Markets rebound as US economy records fastest growth since 1984 – as it happened,2022-01-27,1,1,0,0,0,0,0,1,1,[4326.50976562],[4431.85009766],[4477.43994141],[105.34033203],[150.93017578],עלייה,עלייה
"After Biden’s first year, the US economy is surprisingly healthy. His prospects are not",2022-01-20,1,0,0,0,0,1,0,1,1,[4482.72998047],[4397.93994141],[4326.50976562],[-84.79003906],[-156.22021484],ירידה,ירידה
The UK government should join us to create a fair and resilient economy | Frances O'Grady,2022-01-02,1,0,1,0,0,1,0,1,1,,[4796.56005859],,,,ללא שינוי,ללא שינוי
Janet Yellen says US economy is unfair to Black Americans in MLK Day speech,2022-01-17,0,1,1,0,0,1,0,1,0,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
Bannon and allies bid to expand pro-Trump influence in local US politics,2022-01-03,1,0,1,0,0,0,0,1,1,[4796.56005859],[4793.54003906],[4670.29003906],[-3.02001953],[-126.27001953],ירידה,ירידה
WNBA players changed US politics in Georgia. NBA stars can do the same in Texas,2022-01-17,0,1,1,0,0,1,0,1,1,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
Our blighted birthdays and party politics | Letters,2022-01-25,0,0,1,0,0,1,0,1,0,[4356.45019531],[4349.93017578],[4546.54003906],[-6.52001953],[190.08984375],ירידה,עלייה
Here’s what a Tory donor and a lavish Liz Truss lunch in Mayfair tells us about British politics | Simon Jenkins,2022-01-03,0,0,1,0,0,0,0,1,1,[4796.56005859],[4793.54003906],[4670.29003906],[-3.02001953],[-126.27001953],ירידה,ירידה
The Observer view on UK politics in 2022 | Observer editorial,2022-01-02,1,1,1,0,0,1,0,1,1,,[4796.56005859],,,,ללא שינוי,ללא שינוי
Suspect in killing of Haiti president arrested by US authorities,2022-01-04,1,0,1,0,0,1,0,1,0,[4793.54003906],[4700.58007812],[4713.06982422],[-92.95996094],[-80.47021484],ירידה,ירידה
Honduran president’s fall from grace poised to end in US indictment,2022-01-26,0,0,1,0,0,1,0,1,1,[4349.93017578],[4326.50976562],[4589.37988281],[-23.42041016],[239.44970703],ירידה,עלייה
Top 10 books about US presidents | Claude A Clegg III,2022-01-19,1,0,1,0,0,0,0,1,1,[4532.75976562],[4482.72998047],[4349.93017578],[-50.02978516],[-182.82958984],ירידה,ירידה
Why is Biden one of the most unpopular US presidents? | First Thing,2022-01-18,1,0,1,0,0,0,0,1,1,[4577.10986328],[4532.75976562],[4356.45019531],[-44.35009766],[-220.65966797],ירידה,ירידה
‘It’s a tough time’: why is Biden one of the most unpopular US presidents?,2022-01-18,1,0,0,0,0,1,0,1,1,[4577.10986328],[4532.75976562],[4356.45019531],[-44.35009766],[-220.65966797],ירידה,ירידה
The US supreme court is letting racist discrimination run wild in the election system | Carol Anderson,2022-02-12,0,0,1,0,0,1,0,0,1,,,,,,ללא שינוי,ללא שינוי
Boris Johnson appoints combative election strategist David Canzini ,2022-02-27,1,0,1,0,0,0,0,1,0,,[4373.93994141],,,,ללא שינוי,ללא שינוי
The US state that fought back after Republicans tried to rig its elections,2022-02-01,0,1,1,0,0,0,0,1,1,[4546.54003906],[4589.37988281],[4521.54003906],[42.83984375],[-25.],עלייה,ירידה
Michaelia Cash confirms no action on national integrity commission before election,2022-02-15,0,0,1,0,0,1,0,1,0,[4471.06982422],[4475.00976562],[4304.75976562],[3.93994141],[-166.31005859],עלייה,ירידה
Viktor Orbán invites Trump to Hungary to boost re-election campaign,2022-02-11,0,0,0,0,0,0,0,1,1,[4418.64013672],,[4348.87011719],,[-69.77001953],ללא שינוי,ירידה
"Republicans fear Michelle Obama presidential run, ex-Trump aide says",2022-02-27,1,0,0,0,0,0,0,1,0,,[4373.93994141],,,,ללא שינוי,ללא שינוי
Ron DeSantis fuels US presidential run speculation with CPAC speech,2022-02-24,1,1,1,1,0,0,0,1,0,[4288.70019531],[4384.64990234],[4363.49023438],[95.94970703],[74.79003906],עלייה,עלייה
French far-right presidential hopeful likens himself to Boris Johnson,2022-02-07,1,0,0,0,0,0,0,1,1,[4483.87011719],[4521.54003906],[4401.66992188],[37.66992188],[-82.20019531],עלייה,ירידה
"Donald Trump defends calling Putin ‘smart’, hints at 2024 presidential bid",2022-02-27,1,0,1,0,0,0,0,1,1,,[4373.93994141],,,,ללא שינוי,ללא שינוי
French reporter infiltrates campaign of far-right presidential candidate Éric Zemmour,2022-02-17,1,0,1,0,0,0,0,1,1,[4380.25976562],[4348.87011719],[4288.70019531],[-31.38964844],[-91.55957031],ירידה,ירידה
‘We have a project’: QAnon followers eye swing state election official races,2022-02-11,1,0,1,0,0,0,0,1,1,[4418.64013672],,[4348.87011719],,[-69.77001953],ללא שינוי,ירידה
‘Like sardines’: experts question the results of ventilation audits at NSW schools,2022-02-02,1,0,1,0,0,0,0,1,1,[4589.37988281],[4477.43994141],[4587.18017578],[-111.93994141],[-2.19970703],ירידה,ירידה
Boris Johnson appoints combative election strategist David Canzini ,2022-02-27,1,0,1,0,0,0,0,1,0,,[4373.93994141],,,,ללא שינוי,ללא שינוי
Tell us: have you had a positive LFT test result followed by a negative PCR result?,2022-02-07,1,0,0,0,0,0,0,1,0,[4483.87011719],[4521.54003906],[4401.66992188],[37.66992188],[-82.20019531],עלייה,ירידה
How bad is Storm Eunice – and is it a result of climate breakdown?,2022-02-18,1,0,0,0,0,0,0,1,1,[4348.87011719],,[4384.64990234],,[35.77978516],ללא שינוי,עלייה
Poll: US majority believes no Russian invasion with Trump as president,2022-02-26,1,0,1,0,0,0,0,1,0,,,,,,ללא שינוי,ללא שינוי
Culture wars rage as depopulated Spanish region goes to polls,2022-02-12,1,0,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
"Half of Londoners unhappy with Met at end of Cressida Dick’s term, polls show",2022-02-16,1,0,1,0,1,1,0,1,1,[4475.00976562],[4380.25976562],[4225.5],[-94.75],[-249.50976562],ירידה,ירידה
"Record 7.1% of Americans identify as LGBTQ+, Gallup poll finds",2022-02-17,0,1,0,0,0,0,0,1,0,[4380.25976562],[4348.87011719],[4288.70019531],[-31.38964844],[-91.55957031],ירידה,ירידה
"Most Europeans want to stand with Kyiv against Moscow, poll suggests",2022-02-09,1,0,0,0,1,0,0,1,1,[4587.18017578],[4504.08007812],[4475.00976562],[-83.10009766],[-112.17041016],ירידה,ירידה
Craving peace in a lifetime of conflict | Brief letters,2022-02-25,1,0,0,0,0,1,0,1,1,[4384.64990234],,[4328.87011719],,[-55.77978516],ללא שינוי,ירידה
Ukraine crisis: miscalculation could trigger unintended wider conflict,2022-02-13,1,0,0,0,0,0,0,1,1,,[4401.66992188],,,,ללא שינוי,ללא שינוי
Charities urge UK to welcome refugees fleeing Ukraine conflict,2022-02-25,1,0,1,0,0,0,0,1,1,[4384.64990234],,[4328.87011719],,[-55.77978516],ללא שינוי,ירידה
